Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.398073299991665,29.3792575999978,29.3792575999978,space,4.598625599988736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityY,ExpTrialStim/Square_B_Square_7.png,"In REALITY, there are TWO cubes",h,b,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,-,SA3: SC2,SG: SP,0,0,0,48,NA,NA,NA,NA,NA,34.13536829999066,0.15168069998617284,34.87857939998503,34.979531599994516,0.9822229999990668,36.912020199990366,37.31201709999005,37.43883929998265,37.43883929998265,b,1,1.379062399995746,38.84530459999223,38.84530459999223,38.84530459999223,38.84530459999223,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityN,ExpTrialStim/Square_Square_NB_2.png,"In REALITY, there are ZERO cubes",b,h,TB-K,2,2,0,2,2,0,0,0,0,0,NB,PropFalse,SA2: SB3,SB: SG,0,1,1,67,NA,NA,NA,NA,NA,38.84530459999223,0.00172719999682158,39.59517699998105,39.6953142999846,0.844253999995999,41.62849759997334,42.02858109999215,42.13073819997953,42.13073819997953,h,1,1.079408899997361,43.228596399974776,43.228596399974776,43.228596399974776,43.228596399974776,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityY,ExpTrialStim/Square_Square_B_2.png,"In REALITY, there are TWO cubes",h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA2: SB3,SB: SP,0,2,2,35,NA,NA,NA,NA,NA,43.228596399974776,0.00180230001569725,43.96190689998912,44.06202059998759,0.8294479000032879,45.99531349999597,46.39512149998336,46.49734179998632,46.49734179998632,b,1,1.2407435000059197,47.7619013999938,47.7619013999938,47.7619013999938,47.7619013999938,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityN,ExpTrialStim/Square_Square_NB_5.png,"In REALITY, there is ONE cube",b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA3: SB2,SB: SP,0,3,3,70,NA,NA,NA,NA,NA,47.7619013999938,0.00179460001527331,48.49516479999875,48.59526439997717,0.8295790000120178,50.5286128000007,50.92848219998996,51.03065659999265,51.03065659999265,h,1,1.067008399986662,52.12844549998408,52.12844549998408,52.12844549998408,52.12844549998408,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeY,ExpTrialStim/Square_Triangle_B_10.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB1: TA2,SP: TY,0,4,4,267,NA,NA,NA,NA,NA,52.12844549998408,0.00123559997882694,52.86187729999074,52.96165089998976,0.8303504999785218,54.89526179997483,55.29526759998407,55.39727669997956,55.39727669997956,b,1,1.3007662000018172,56.7284322999767,56.7284322999767,56.7284322999767,56.7284322999767,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeY,ExpTrialStim/Square_Square_B_1.png,Adam KNOWS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA1: SB2,SP: SG,0,5,5,246,NA,NA,NA,NA,NA,56.7284322999767,4.1549999150447e-4,57.46180029999232,57.56173929999932,0.8314231999975163,59.495140299986815,59.89525539998431,59.997393699974054,59.997393699974054,b,1,1.0360616999969352,61.06163849998848,61.06163849998848,61.06163849998848,61.06163849998848,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefY,ExpTrialStim/Square_Triangle_NB_2.png,Adam THINKS there is ONE cube,h,b,TB-K,2,1,1,2,1,1,0,0,0,1,NB,-,SB1: TB3,SB: TO,0,6,6,118,NA,NA,NA,NA,NA,61.06163849998848,4.3330001062713e-4,61.79502709998633,61.89522509998642,0.8313968000002205,63.82853729999624,64.22862769998028,64.33066539998981,64.33066539998981,b,1,1.1273122999991756,65.47851789998822,65.47851789998822,65.47851789998822,65.47851789998822,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeN,ExpTrialStim/Triangle_NB_3.png,Adam KNOWS there are TWO cubes,b,h,TB-K,1,0,1,1,0,1,0,0,0,2,NB,PropFalse,TB2,TR,0,7,7,272,NA,NA,NA,NA,NA,65.47851789998822,0.00176650000503286,66.21175079999375,66.31167049999931,0.8296334000187926,68.24505179998232,68.64528099997551,68.7473565999826,68.7473565999826,h,1,2.206097200018121,70.97832709999057,70.97832709999057,70.97832709999057,70.97832709999057,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefN,ExpTrialStim/Square_B_Square_4.png,Adam THINKS there are ZERO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SB1: SD2,SG: SP,0,8,8,207,NA,NA,NA,NA,NA,70.97832709999057,5.1039998652413e-4,71.71173949999502,71.81172409999999,0.8311591999954544,73.74507349997293,74.14522139998735,74.24758109997492,74.24758109997492,h,1,1.4498016000143252,75.72835619997932,75.72835619997932,75.72835619997932,75.72835619997932,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
