Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.155579799989937,29.135643099987647,29.135643099987647,space,50.20101230000728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Square_NB_2.png,Adam THINKS there are TWO cubes,b,h,TB-K,1,1,0,1,1,0,0,0,0,2,NB,PropFalse,SA3,SP,0,0,0,166,NA,NA,NA,NA,NA,79.51040439998906,0.15386549998947885,80.25125499999558,80.35140279999177,0.981712399996468,82.28470869999728,82.68455009999161,82.83079329998873,82.83079329998873,b,0,2.6971710000070743,85.55113759999222,85.55113759999222,85.55113759999222,85.55113759999222,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_Square_B_3.png,"In REALITY, there are TWO cubes",h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB1,SG: SB,0,1,1,36,NA,NA,NA,NA,NA,85.55113759999222,4.3290000758133e-4,86.28464469999017,86.38456719998794,0.830881000001682,88.3179475999932,88.71799929998815,88.82017219999398,88.82017219999398,b,1,0.8684513000043808,89.71795029999339,89.71795029999339,89.71795029999339,89.71795029999339,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Triangle_Triangle_B_7.png,Adam THINKS there are TWO cubes,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,2,B,PropFalse,TA1: TB2,TR: TY,0,2,2,190,NA,NA,NA,NA,NA,89.71795029999339,0.00213090000033844,90.45121539999673,90.55116669999552,0.8295818999904441,92.48470760000056,92.88466869998956,92.98682179999014,92.98682179999014,h,1,1.3175651999918043,94.33443899999838,94.33443899999838,94.33443899999838,94.33443899999838,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_B_Square_4.png,"In REALITY, there are TWO cubes",h,b,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,-,SB1: SD2,SG: SP,0,3,3,45,NA,NA,NA,NA,NA,94.33443899999838,0.00134850000904407,95.06785589999345,95.16801850000049,0.829334200010635,97.10127459999056,97.50127449999854,97.60333279999033,97.60333279999033,b,1,2.036595400000806,99.66775689998758,99.66775689998758,99.66775689998758,99.66775689998758,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Square_B_11.png,Adam KNOWS there are TWO cubes,h,b,FB-Ig,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB2,SB: SP,0,4,4,256,NA,NA,NA,NA,NA,99.66775689998758,6.4079998992383e-4,100.40116909999053,100.5011661999888,0.8309380999999121,102.43454919999932,102.83462349999172,102.93685129999358,102.93685129999358,b,1,2.551530400000047,105.51772189998884,105.51772189998884,105.51772189998884,105.51772189998884,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Triangle_Triangle_B_4.png,"In REALITY, there are TWO cubes",b,h,TB-K-B,2,0,2,2,0,2,0,0,0,2,B,PropFalse,TA2: TB1,TY: TR,0,5,5,83,NA,NA,NA,NA,NA,105.51772189998884,5.1919999532401e-4,106.25113209999108,106.35128099999564,0.8313057999912417,108.28462559999024,108.68462989998808,108.78659369998786,108.78659369998786,h,1,1.2054144999856362,110.01767539999857,110.01767539999857,110.01767539999857,110.01767539999857,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Triangle_NB_1.png,Adam KNOWS there is ONE cube,h,b,TB-K,2,1,1,2,1,1,0,0,0,1,NB,-,SA2: TB1,SG: TR,0,6,6,225,NA,NA,NA,NA,NA,110.01767539999857,4.9440001021139e-4,110.75118319998728,110.85133499999938,0.8310376000008546,112.78447149999556,113.18449949999922,113.28670309999144,113.28670309999144,b,1,2.5451567999989493,115.85101999998732,115.85101999998732,115.85101999998732,115.85101999998732,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_Square_B_3.png,"In REALITY, there is ONE cube",b,h,TB-K-B,2,2,0,2,2,0,0,0,0,1,B,PropFalse,SA3: SB1,SG: SB,0,7,7,86,NA,NA,NA,NA,NA,115.85101999998732,4.724000027636e-4,116.58449439999822,116.6846358999901,0.8313522999960696,118.6179284999962,119.01776899999822,119.12017199999536,119.12017199999536,h,1,1.99219040000753,121.13453099998878,121.13453099998878,121.13453099998878,121.13453099998878,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Square_B_Square_4.png,Adam THINKS there are ZERO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SB1: SD2,SG: SP,0,8,8,207,NA,NA,NA,NA,NA,121.13453099998878,0.00210900000820402,121.86779679999744,121.96775999999954,0.829357099995832,123.90125299998908,124.30106129999332,124.40320489999432,124.40320489999432,b,0,3.18142710000393,127.60102259999258,127.60102259999258,127.60102259999258,127.60102259999258,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
