Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.28561559994705,28.255366900004447,28.255366900004447,space,4.5485348999500275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,FALSE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_1.png,Adam KNOWS there are ZERO cubes,0,h,b,2,2,0,1,1,0,1,1,0,B,PropTrueNoKnowledge,0,0,0,292,NA,NA,NA,NA,NA,0.19561039982363584,33.09575300011784,33.471264000050724,33.57141029997729,35.571479600155726,35.97140970011242,36.10243910015561,36.10243910015561,b,1,1.1419788000639528,37.2710941999685,37.2710941999685,37.2710941999685,37.2710941999685,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_4.png,Adam THINKS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,1,1,129,NA,NA,NA,NA,NA,3.9670011028647e-4,37.357401200104505,37.737793300068006,37.83778760000132,39.838070299942046,40.2380373000633,40.34040580014698,40.34040580014698,h,1,8.007732399972156,48.3713217000477,48.3713217000477,48.3713217000477,48.3713217000477,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_3.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,2,2,86,NA,NA,NA,NA,NA,0.00200320011936128,48.46483450010419,48.83776080003008,48.937940899981186,50.93785910005681,51.3379649000708,51.44022670015693,51.44022670015693,b,1,0.843927500071004,52.30457670008764,52.30457670008764,52.30457670008764,52.30457670008764,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_4.png,Adam THINKS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,3,3,191,NA,NA,NA,NA,NA,0.00221080007031559,52.40060990001075,52.771203899988905,52.871324399951845,54.87131249997765,55.271299300016835,55.373539000051096,55.373539000051096,b,1,0.998905299929902,56.38803120004013,56.38803120004013,56.38803120004013,56.38803120004013,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_4.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,4,4,155,NA,NA,NA,NA,NA,0.00225429981946945,56.48455900000408,56.854525400092825,56.95459110010415,58.954611300025135,59.35461580008269,59.45686160004698,59.45686160004698,h,1,1.066829200135544,60.55440849997103,60.55440849997103,60.55440849997103,60.55440849997103,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,5,5,94,NA,NA,NA,NA,NA,6.5910001285374e-4,60.63732019998133,61.02113140001893,61.121064299950376,63.12122850003652,63.52113250014372,63.62349810008891,63.62349810008891,b,1,0.9885192001238464,64.63786710007116,64.63786710007116,64.63786710007116,64.63786710007116,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_2.png,Adam KNOWS there are ZERO cubes,0,h,b,1,1,0,1,1,0,0,0,0,B,PropTrueNoKnowledge,0,6,6,289,NA,NA,NA,NA,NA,0.00208519981242716,64.72606889996678,65.10449149995111,65.20462170010433,67.20445020007901,67.60454070009291,67.70680680009536,67.70680680009536,b,1,1.249403900001198,68.98783480003476,68.98783480003476,68.98783480003476,68.98783480003476,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_12.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,7,7,269,NA,NA,NA,NA,NA,0.0020699999295175,69.08721449994482,69.47108260006644,69.57123490003869,71.57124860002659,71.971088899998,72.07348420005292,72.07348420005292,h,1,1.5940562000032514,73.68745209998451,73.68745209998451,73.68745209998451,73.68745209998451,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_1.png,Adam KNOWS there is ONE cube,1,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,8,8,270,NA,NA,NA,NA,NA,5.2869995124638e-4,73.75923470011912,74.1377737999428,74.23788270005025,76.2379020000808,76.63789559993893,76.74013600009494,76.74013600009494,b,1,0.6956067001447082,77.45425590011291,77.45425590011291,77.45425590011291,77.45425590011291,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
