Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.053503800183536,14.030630399938673,14.030630399938673,space,31.403506899718195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Reality,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_6.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,0,0,89,NA,NA,NA,NA,NA,0.18215150013566017,45.721733199898154,46.09626970021054,46.19642370007932,48.19645960023627,48.59612990031019,48.72351690009236,48.72351690009236,h,1,3.3587376000359654,52.11288630031049,52.11288630031049,52.11288630031049,52.11288630031049,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Belief,FALSE,TB-K,DD_NB,PsychoPyStudy2Stim/DD_NB_3.png,Adam THINKS there are TWO cubes,2,h,b,2,2,0,2,2,0,0,0,0,NB,PropFalse,0,1,1,170,NA,NA,NA,NA,NA,0.00149350007995963,52.20592029998079,52.57958760019392,52.67946760030463,54.67971870023757,55.07972860010341,55.181828199885786,55.181828199885786,h,1,1.3004837003536522,56.51271439995617,56.51271439995617,56.51271439995617,56.51271439995617,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Reality,TRUE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_3.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,NB,-,0,2,2,11,NA,NA,NA,NA,NA,4.8670032992959e-4,56.58034919993952,56.96260900003835,57.06298350030556,59.062719100154936,59.46298040030524,59.56513970019296,59.56513970019296,b,1,1.0207365001551807,60.61284450022504,60.61284450022504,60.61284450022504,60.61284450022504,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,3,3,40,NA,NA,NA,NA,NA,9.141000919044e-4,60.70306320022792,61.07953900005669,61.17958300001919,63.17947370000184,63.5796715002507,63.68155310023576,63.68155310023576,b,1,0.8330444996245205,64.52931979997084,64.52931979997084,64.52931979997084,64.52931979997084,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Reality,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_1.png,"In REALITY, there are ZERO cubes",0,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,4,4,57,NA,NA,NA,NA,NA,0.00212730001658201,64.59871829999611,64.97946170018986,65.07964859995991,67.07963180029765,67.47941720020026,67.58176300022751,67.58176300022751,h,1,0.9884047000668944,68.5962336002849,68.5962336002849,68.5962336002849,68.5962336002849,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,5,5,44,NA,NA,NA,NA,NA,0.00206530001014471,68.68090309994295,69.06285049999133,69.16290279990062,71.16267480002716,71.5626326999627,71.6650115000084,71.6650115000084,b,1,2.8891706997528672,74.57954420009628,74.57954420009628,74.57954420009628,74.57954420009628,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Knowledge,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_1.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,6,6,228,NA,NA,NA,NA,NA,0.00196840008720755,74.6519482000731,75.02945449994877,75.12963290000334,77.12955529987812,77.52939260005951,77.63176240026951,77.63176240026951,b,1,1.274020000360906,78.92922280030325,78.92922280030325,78.92922280030325,78.92922280030325,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Belief,FALSE,TB-K,DD_NB,PsychoPyStudy2Stim/DD_NB_1.png,Adam THINKS there is ONE cube,1,h,b,2,2,0,2,2,0,0,0,0,NB,PropFalse,0,7,7,168,NA,NA,NA,NA,NA,5.6760013103485e-4,79.00355770019814,79.37946500023827,79.47956490004435,81.47932989988476,81.87933630030602,81.98171810014173,81.98171810014173,h,1,0.924343999940902,82.92939990013838,82.92939990013838,82.92939990013838,82.92939990013838,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
Belief,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,Adam THINKS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,8,8,175,NA,NA,NA,NA,NA,0.00184490019455552,83.00834929989651,83.37947360007092,83.47937529999763,85.47941430006176,85.87961150007322,85.9817198002711,85.9817198002711,h,1,1.3169509000144899,87.3294907999225,87.3294907999225,87.3294907999225,87.3294907999225,NA,NA,NA,NA,NA,NA,020,001,2024-10-14_10h57.13.497,PsychoPy Exp,2023.1.2,60.09167583117173
