Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End_Text.stopped,Exp_End_Key_Resp.stopped,Exp_End.stopped,Exp_End_Key_Resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00290439999662339,0.02469909994397312,1.9961861999472603,1.9961861999472603,6.9357001999160275,space,4.924469699966721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Belief,Reg,TRUE,N,FB-Ig,B_TT,PsychoPyStudy5Stim/B_TT_3.png,Adam THINKS there are ZERO cubes,Zero,h,b,N,-,Y,0,0,0,328,7.068160999915563,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.064401299925521,0.12882680003531277,7.155729099991731,7.52878149994649,7.6287485000211746,9.628827499924228,10.028841199935414,10.15028479998,10.15028479998,12.132071399944834,b,1,1.9699219000758603,NA,12.133719999925232,12.14539620000869,12.14539620000869,12.14539620000869,12.14539620000869,12.134535899967888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Belief,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_7.png,Adam does NOT THINK there is ONE cube,One,b,h,Y,PropFalse,N,0,1,1,54,12.14539620000869,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.135407899972051,4.3999997433274e-4,12.245987699949184,12.628832699963825,12.728919700020924,14.728909899946302,15.128857699921356,15.231266199960372,15.231266199960372,18.531934099970385,h,1,3.288487099925987,NA,18.53255389991682,18.54538000002503,18.54538000002503,18.54538000002503,18.54538000002503,18.533241599914614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Knowledge,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_4.png,Adam does NOT KNOW there are TWO cubes,Two,h,b,Y,-,N,0,2,2,3,18.54538000002503,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.533742300001904,3.91700072214e-4,18.6432965999702,19.028613099944774,19.128928299993277,21.12890409992542,21.528903499944136,21.631213399930857,21.631213399930857,23.997838099952787,b,1,2.3531783999642357,NA,23.998131799977273,24.01194050000049,24.01194050000049,24.01194050000049,24.01194050000049,23.998446199926548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Knowledge,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_3.png,Adam does NOT KNOW there are TWO cubes,Two,b,h,Y,PropFalse,N,0,3,3,90,24.01194050000049,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.998658500029705,1.660999841988e-4,24.085673699970357,24.46209899999667,24.562246199930087,26.56220459996257,26.962237700005065,27.064593099988997,27.064593099988997,28.114694399992004,h,1,1.039293000008911,NA,28.114987800014205,28.12859939993359,28.12859939993359,28.12859939993359,28.12859939993359,28.115307400003076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Knowledge,Reg,TRUE,N,NB-TB-K,DD_NB,PsychoPyStudy5Stim/DD_NB_6.png,Adam KNOWS there are ZERO cubes,Zero,h,b,N,-,N,0,4,4,152,28.12859939993359,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1155142999487,1.622000709176e-4,28.236496899975464,28.612087899935432,28.71220650000032,30.712097399984486,31.11208639992401,31.214380600024015,31.214380600024015,32.64850160002243,b,1,1.417254599975422,NA,32.6489891000092,32.661974099930376,32.661974099930376,32.661974099930376,32.661974099930376,32.64953149994835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Knowledge,Reg,TRUE,N,NB-TB-K,DD_NB,PsychoPyStudy5Stim/DD_NB_5.png,Adam KNOWS there are ZERO cubes,Zero,h,b,N,-,N,0,5,5,151,32.661974099930376,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.649903399986215,2.8659997042268e-4,32.74390849994961,33.128720499924384,33.22888770001009,35.22878659993876,35.6287566999672,35.73106719995849,35.73106719995849,38.01514879998285,b,1,2.2776709999889135,NA,38.015628100023605,38.02858359995298,38.02858359995298,38.02858359995298,38.02858359995298,38.01617770001758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Belief,Neg,TRUE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_4.png,Adam does NOT THINK there is ONE cube,One,h,b,Y,-,N,0,6,6,87,38.02858359995298,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.01656239992008,2.9990007169544e-4,38.113538099918514,38.49530880001839,38.595500899944454,40.595442799967714,40.99539900000673,41.09812049998436,41.09812049998436,58.91532659996301,b,1,17.80568980006501,NA,58.91599669994321,58.92859619995579,58.92859619995579,58.92859619995579,58.92859619995579,58.91666849993635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Reality,Reg,TRUE,N,TB-K-B,DD_B,PsychoPyStudy5Stim/DD_B_6.png,"In REALITY, there are ZERO cubes",Zero,h,b,N,-,N,0,7,7,237,58.92859619995579,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.917192599968985,3.84800019674e-4,59.01249170000665,59.3953156999778,59.49529679992702,61.49542199994903,61.89530799991917,61.9976147999987,61.9976147999987,63.93162209994625,b,1,1.931564300088212,NA,63.93221709993668,63.9451944999164,63.9451944999164,63.9451944999164,63.9451944999164,63.93277359998319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
Belief,Neg,FALSE,N,TB-K,TD_B,PsychoPyStudy5Stim/TD_B_7.png,Adam does NOT THINK there is ONE cube,One,b,h,Y,PropFalse,N,0,8,8,126,63.9451944999164,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93320059997495,3.3780001103878e-4,64.03524489991833,64.41195280000102,64.51194330002181,66.51188979996368,66.91200369992293,67.0143628999358,67.0143628999358,69.51502479996998,h,1,2.489744500024244,NA,69.5155197000131,69.52850559994113,69.52850559994113,69.52850559994113,69.52850559994113,69.51606739999261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2025-10-10_11h01.06.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-10 11h01.20.317446 +0100
