Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00335849996190518,0.02820269996300339,1.99813299998641,1.99813299998641,12.740086500067264,space,10.729049299960025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Reg,FALSE,N,NB-TB-K,DD_NB,PsychoPyStudy5Stim/DD_NB_2.png,Adam THINKS there is ONE cube,One,b,h,N,PropFalse,N,0,0,0,158,12.863262200029569,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.859738599974662,0.1196743999607861,12.959453799994662,13.330562200048009,13.430746200028809,15.430647199973464,15.830645199981518,15.952333700028248,15.952333700028248,18.249980499967933,b,1,2.286394500057213,NA,18.25327510002535,18.263865999993868,18.263865999993868,18.263865999993868,18.263865999993868,18.253626100020483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Reality,Reg,FALSE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_8.png,"In REALITY, there are TWO cubes",Two,b,h,N,PropFalse,N,0,1,1,274,18.263865999993868,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.25408500002231,1.981999957934e-4,18.341577899991535,18.713919900008477,18.814019500045102,20.81399000005331,21.214019700069912,21.316531999967992,21.316531999967992,24.23348579998128,b,1,2.9062262000516057,NA,24.233785400050692,24.2471716,24.2471716,24.2471716,24.2471716,24.234121300047264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Knowledge,Reg,TRUE,N,TB-K-B,TT_B,PsychoPyStudy5Stim/TT_B_8.png,Adam KNOWS there are TWO cubes,Two,h,b,N,-,N,0,2,2,244,24.2471716,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.23433610005304,1.6789999790489e-4,24.321227699983865,24.697206699987873,24.79728439997416,26.79732580005657,27.197384900064208,27.301208900054917,27.301208900054917,28.71687060000841,h,1,1.410047199926339,NA,28.717195500037633,28.730522600002587,28.730522600002587,28.730522600002587,28.730522600002587,28.71749589999672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Reg,TRUE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_3.png,Adam THINKS there are ZERO cubes,Zero,h,b,N,-,Y,0,3,3,314,28.730522600002587,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.717724699992687,1.8119998276233e-4,28.819969900068827,29.19719510001596,29.297365900012664,31.297261400031857,31.69730170001276,31.80074059998151,31.80074059998151,33.91776840004604,b,0,2.1022190999938175,NA,33.91809859999921,33.930474500055425,33.930474500055425,33.930474500055425,33.930474500055425,33.91840810002759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Reality,Reg,TRUE,N,FB-Ig,B_TT,PsychoPyStudy5Stim/B_TT_3.png,"In REALITY, there are TWO cubes",Two,h,b,N,-,N,0,4,4,333,33.930474500055425,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.918631199980155,1.7560005653649e-4,34.01963180000894,34.39710619999096,34.49726219999138,36.49728450004477,36.89732350001577,36.999658999964595,36.999658999964595,39.34978889999911,h,1,2.34309909993317,NA,39.35008490004111,39.36381740006618,39.36381740006618,39.36381740006618,39.36381740006618,39.350406800047494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Reg,FALSE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_6.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,5,5,268,39.36381740006618,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.35062090004794,1.6850000247359e-4,39.444251500070095,39.813850600039586,39.913906699977815,41.9139232999878,42.313927600043826,42.41641659999732,42.41641659999732,44.65106619999278,b,1,2.223663100041449,NA,44.65137890004553,44.66400450002402,44.66400450002402,44.66400450002402,44.66400450002402,44.65170080005191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_1.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,6,6,283,44.66400450002402,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65195810003206,2.0120001863688e-4,44.74953470006585,45.13041430001613,45.23058430000674,47.23063420003746,47.6305678000208,47.73342359997332,47.73342359997332,50.26688770006877,b,1,2.530112700071186,NA,50.26730289997067,50.28044270002283,50.28044270002283,50.28044270002283,50.28044270002283,50.26782089995686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Knowledge,Reg,FALSE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_1.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropTrueNoKnow,Y,0,7,7,307,50.28044270002283,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.26810690003913,2.3440003860741e-4,50.35616770002525,50.73039719997905,50.83055880002212,52.83055359998252,53.23055610002484,53.33333409996703,53.33333409996703,59.33342290006112,b,1,5.985426599974744,NA,59.333758800057694,59.34710560005624,59.34710560005624,59.34710560005624,59.34710560005624,59.33413500001189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Neg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_7.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,8,8,78,59.34710560005624,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.33438630006276,2.0560005214065e-4,59.42725369997788,59.79702759999782,59.897187900030985,61.89739479997661,62.29718790005427,62.40001790004317,62.40001790004317,64.19983439997304,b,1,1.7914206000277773,NA,64.20013270003255,64.21367590001319,64.21367590001319,64.21367590001319,64.21367590001319,64.20040420000441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Knowledge,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_2.png,Adam does NOT KNOW there is ONE cube,One,b,h,Y,PropFalse,N,0,9,9,41,64.21367590001319,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.20061830000486,1.6850000247359e-4,64.28471699997317,64.66376000002492,64.76384659996256,66.76386339997407,67.16387270006817,67.26654019998387,67.26654019998387,73.90090470004361,h,0,6.620376800070517,NA,73.90130669996142,73.91377029998694,73.91377029998694,73.91377029998694,73.91377029998694,73.9016501000151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_8.png,Adam does NOT THINK there are TWO cubes,Two,h,b,Y,-,N,0,10,10,23,73.91377029998694,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.90188470005523,1.9659998361021e-4,73.99886140006129,74.3805215000175,74.48052400001325,76.48047479998786,76.88046959997155,76.98343570006546,76.98343570006546,82.39983370003756,h,1,5.4073549000313506,NA,82.4002363999607,82.41366099996958,82.41366099996958,82.41366099996958,82.41366099996958,82.40067890007049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Belief,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_3.png,Adam THINKS there are TWO cubes,Two,b,h,N,PropFalse,N,0,11,11,301,82.41366099996958,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.40090250002686,1.7579994164407e-4,82.49022799998056,82.86368599999696,82.9638403999852,84.96373880002648,85.36370099999476,85.46633429999929,85.46633429999929,88.98309660004452,b,1,3.5004687000764534,NA,88.98339059995487,88.9970076000318,88.9970076000318,88.9970076000318,88.9970076000318,88.9837154999841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Reality,Reg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_7.png,"In REALITY, there are ZERO cubes",Zero,b,h,N,PropFalse,N,0,12,12,194,88.9970076000318,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.98392550006974,1.6589998267591e-4,89.06763429997955,89.4469492000062,89.54705359996296,91.54704279999714,91.94705499999692,92.05046399997082,92.05046399997082,94.16737290006132,b,1,2.1008875999832526,NA,94.16770530003124,94.1803830000572,94.1803830000572,94.1803830000572,94.1803830000572,94.16802990005816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Knowledge,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_2.png,Adam KNOWS there are TWO cubes,Two,b,h,N,PropFalse,N,0,13,13,292,94.1803830000572,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.16826669999864,1.8729991279542e-4,94.2572921999963,94.63024259998927,94.73043860006146,96.73042849998455,97.13034959998912,97.23270379996391,97.23270379996391,100.56638209999072,b,1,3.3182686999207363,NA,100.56667880003806,100.58025400002953,100.58025400002953,100.58025400002953,100.58025400002953,100.56699940003456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
Reality,Reg,TRUE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_2.png,"In REALITY, there is ONE cube",One,h,b,N,-,N,0,14,14,271,100.58025400002953,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.56721310003196,1.6870000399649e-4,100.65521550003903,101.03020250005648,101.1303867000388,103.1303391000256,103.53032240003812,103.63288930000272,103.63288930000272,106.28344719996676,h,1,2.6462070000125095,NA,106.28375479998068,106.29690149996895,106.29690149996895,106.29690149996895,106.29690149996895,106.28410619997884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,043,001,2025-10-15_11h00.50.019,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 11h01.05.379058 +0100
